Precompute geometric measures at collocation points.
Done.
Start training.
Inner energy: 8.52e-03, Energy share (memb./bend./shear): 6.58e-03/7.14e-04/1.23e-03, Work: 1.71e-02
Inner energy: 8.39e-03, Energy share (memb./bend./shear): 6.48e-03/7.11e-04/1.20e-03, Work: 1.70e-02
Inner energy: 8.39e-03, Energy share (memb./bend./shear): 6.44e-03/7.42e-04/1.21e-03, Work: 1.70e-02
Inner energy: 8.84e-03, Energy share (memb./bend./shear): 6.82e-03/7.62e-04/1.26e-03, Work: 1.75e-02
Inner energy: 8.84e-03, Energy share (memb./bend./shear): 6.84e-03/7.74e-04/1.23e-03, Work: 1.75e-02
Inner energy: 8.84e-03, Energy share (memb./bend./shear): 6.86e-03/7.98e-04/1.18e-03, Work: 1.75e-02
Inner energy: 8.82e-03, Energy share (memb./bend./shear): 6.88e-03/8.09e-04/1.13e-03, Work: 1.75e-02
Inner energy: 8.82e-03, Energy share (memb./bend./shear): 6.88e-03/8.09e-04/1.13e-03, Work: 1.75e-02
Epoch: 2, rel. L2 error: 3.30e-01
Inner energy: 8.82e-03, Energy share (memb./bend./shear): 6.88e-03/8.09e-04/1.13e-03, Work: 1.75e-02
Inner energy: 8.66e-03, Energy share (memb./bend./shear): 6.76e-03/8.00e-04/1.10e-03, Work: 1.74e-02
Inner energy: 8.59e-03, Energy share (memb./bend./shear): 6.72e-03/7.81e-04/1.09e-03, Work: 1.73e-02
Inner energy: 8.56e-03, Energy share (memb./bend./shear): 6.70e-03/7.82e-04/1.07e-03, Work: 1.73e-02
Inner energy: 8.66e-03, Energy share (memb./bend./shear): 6.88e-03/8.10e-04/9.76e-04, Work: 1.74e-02
Inner energy: 8.73e-03, Energy share (memb./bend./shear): 6.92e-03/8.26e-04/9.83e-04, Work: 1.75e-02
Inner energy: 8.85e-03, Energy share (memb./bend./shear): 7.03e-03/8.59e-04/9.68e-04, Work: 1.77e-02
Inner energy: 8.86e-03, Energy share (memb./bend./shear): 7.06e-03/8.67e-04/9.36e-04, Work: 1.77e-02
Inner energy: 8.83e-03, Energy share (memb./bend./shear): 7.05e-03/8.69e-04/9.19e-04, Work: 1.77e-02
Inner energy: 8.79e-03, Energy share (memb./bend./shear): 7.01e-03/8.62e-04/9.18e-04, Work: 1.76e-02
Inner energy: 8.72e-03, Energy share (memb./bend./shear): 6.94e-03/8.45e-04/9.36e-04, Work: 1.76e-02
Inner energy: 8.73e-03, Energy share (memb./bend./shear): 6.94e-03/8.45e-04/9.46e-04, Work: 1.76e-02
Inner energy: 8.82e-03, Energy share (memb./bend./shear): 7.01e-03/8.52e-04/9.59e-04, Work: 1.77e-02
Inner energy: 8.82e-03, Energy share (memb./bend./shear): 7.03e-03/8.67e-04/9.31e-04, Work: 1.77e-02
Inner energy: 8.84e-03, Energy share (memb./bend./shear): 7.05e-03/8.77e-04/9.13e-04, Work: 1.77e-02
Inner energy: 8.85e-03, Energy share (memb./bend./shear): 7.07e-03/8.82e-04/8.93e-04, Work: 1.77e-02
Inner energy: 8.84e-03, Energy share (memb./bend./shear): 7.07e-03/8.78e-04/8.87e-04, Work: 1.77e-02
Inner energy: 8.87e-03, Energy share (memb./bend./shear): 7.10e-03/8.77e-04/8.93e-04, Work: 1.78e-02
Inner energy: 8.88e-03, Energy share (memb./bend./shear): 7.11e-03/8.70e-04/9.05e-04, Work: 1.78e-02
Inner energy: 8.86e-03, Energy share (memb./bend./shear): 7.07e-03/8.69e-04/9.14e-04, Work: 1.78e-02
Inner energy: 8.93e-03, Energy share (memb./bend./shear): 7.14e-03/8.77e-04/9.16e-04, Work: 1.79e-02
Inner energy: 8.93e-03, Energy share (memb./bend./shear): 7.14e-03/8.77e-04/9.16e-04, Work: 1.79e-02
Epoch: 3, rel. L2 error: 3.08e-01
Inner energy: 8.93e-03, Energy share (memb./bend./shear): 7.14e-03/8.77e-04/9.16e-04, Work: 1.79e-02
Inner energy: 8.98e-03, Energy share (memb./bend./shear): 7.16e-03/9.04e-04/9.13e-04, Work: 1.79e-02
Inner energy: 9.04e-03, Energy share (memb./bend./shear): 7.25e-03/9.06e-04/8.79e-04, Work: 1.80e-02
Inner energy: 9.10e-03, Energy share (memb./bend./shear): 7.29e-03/9.18e-04/9.01e-04, Work: 1.81e-02
Inner energy: 9.08e-03, Energy share (memb./bend./shear): 7.27e-03/9.18e-04/8.90e-04, Work: 1.80e-02
Inner energy: 9.01e-03, Energy share (memb./bend./shear): 7.22e-03/9.05e-04/8.79e-04, Work: 1.80e-02
Inner energy: 8.99e-03, Energy share (memb./bend./shear): 7.21e-03/9.01e-04/8.72e-04, Work: 1.80e-02
Inner energy: 8.98e-03, Energy share (memb./bend./shear): 7.21e-03/9.04e-04/8.69e-04, Work: 1.80e-02
Inner energy: 8.99e-03, Energy share (memb./bend./shear): 7.21e-03/9.10e-04/8.68e-04, Work: 1.80e-02
Inner energy: 9.05e-03, Energy share (memb./bend./shear): 7.25e-03/9.15e-04/8.84e-04, Work: 1.81e-02
Inner energy: 8.96e-03, Energy share (memb./bend./shear): 7.17e-03/9.14e-04/8.76e-04, Work: 1.80e-02
Inner energy: 9.00e-03, Energy share (memb./bend./shear): 7.21e-03/8.98e-04/9.01e-04, Work: 1.80e-02
Inner energy: 9.01e-03, Energy share (memb./bend./shear): 7.22e-03/9.00e-04/8.90e-04, Work: 1.80e-02
Inner energy: 9.01e-03, Energy share (memb./bend./shear): 7.23e-03/9.00e-04/8.77e-04, Work: 1.80e-02
Inner energy: 9.04e-03, Energy share (memb./bend./shear): 7.29e-03/9.08e-04/8.45e-04, Work: 1.81e-02
Inner energy: 9.06e-03, Energy share (memb./bend./shear): 7.32e-03/9.17e-04/8.30e-04, Work: 1.81e-02
Inner energy: 9.06e-03, Energy share (memb./bend./shear): 7.33e-03/9.42e-04/7.83e-04, Work: 1.81e-02
Inner energy: 9.14e-03, Energy share (memb./bend./shear): 7.40e-03/9.59e-04/7.84e-04, Work: 1.82e-02
Inner energy: 9.03e-03, Energy share (memb./bend./shear): 7.32e-03/9.65e-04/7.40e-04, Work: 1.81e-02
Inner energy: 8.98e-03, Energy share (memb./bend./shear): 7.28e-03/9.51e-04/7.55e-04, Work: 1.81e-02
Inner energy: 9.07e-03, Energy share (memb./bend./shear): 7.35e-03/9.51e-04/7.76e-04, Work: 1.82e-02
Inner energy: 9.07e-03, Energy share (memb./bend./shear): 7.35e-03/9.51e-04/7.76e-04, Work: 1.82e-02
Epoch: 4, rel. L2 error: 2.34e-01
Inner energy: 9.07e-03, Energy share (memb./bend./shear): 7.35e-03/9.51e-04/7.76e-04, Work: 1.82e-02
Inner energy: 9.12e-03, Energy share (memb./bend./shear): 7.33e-03/9.54e-04/8.29e-04, Work: 1.83e-02
Inner energy: 9.36e-03, Energy share (memb./bend./shear): 7.55e-03/1.00e-03/8.15e-04, Work: 1.86e-02
Inner energy: 9.27e-03, Energy share (memb./bend./shear): 7.45e-03/9.97e-04/8.23e-04, Work: 1.85e-02
Inner energy: 9.20e-03, Energy share (memb./bend./shear): 7.40e-03/9.88e-04/8.07e-04, Work: 1.84e-02
Inner energy: 9.21e-03, Energy share (memb./bend./shear): 7.43e-03/1.00e-03/7.84e-04, Work: 1.84e-02
Inner energy: 9.29e-03, Energy share (memb./bend./shear): 7.50e-03/1.00e-03/7.89e-04, Work: 1.85e-02
Inner energy: 9.26e-03, Energy share (memb./bend./shear): 7.48e-03/1.01e-03/7.63e-04, Work: 1.85e-02
Inner energy: 9.25e-03, Energy share (memb./bend./shear): 7.49e-03/1.02e-03/7.34e-04, Work: 1.85e-02
Inner energy: 9.25e-03, Energy share (memb./bend./shear): 7.49e-03/1.01e-03/7.47e-04, Work: 1.85e-02
Inner energy: 9.14e-03, Energy share (memb./bend./shear): 7.40e-03/1.02e-03/7.21e-04, Work: 1.84e-02
Inner energy: 9.32e-03, Energy share (memb./bend./shear): 7.54e-03/1.04e-03/7.42e-04, Work: 1.86e-02
Inner energy: 9.27e-03, Energy share (memb./bend./shear): 7.50e-03/1.05e-03/7.24e-04, Work: 1.86e-02
Inner energy: 9.26e-03, Energy share (memb./bend./shear): 7.48e-03/1.06e-03/7.21e-04, Work: 1.86e-02
Inner energy: 9.26e-03, Energy share (memb./bend./shear): 7.47e-03/1.05e-03/7.41e-04, Work: 1.86e-02
Inner energy: 9.30e-03, Energy share (memb./bend./shear): 7.53e-03/1.07e-03/6.99e-04, Work: 1.86e-02
Inner energy: 9.30e-03, Energy share (memb./bend./shear): 7.51e-03/1.06e-03/7.25e-04, Work: 1.86e-02
Inner energy: 9.32e-03, Energy share (memb./bend./shear): 7.53e-03/1.06e-03/7.25e-04, Work: 1.87e-02
Inner energy: 9.31e-03, Energy share (memb./bend./shear): 7.54e-03/1.09e-03/6.77e-04, Work: 1.87e-02
Inner energy: 9.49e-03, Energy share (memb./bend./shear): 7.71e-03/1.11e-03/6.65e-04, Work: 1.89e-02
Inner energy: 9.41e-03, Energy share (memb./bend./shear): 7.64e-03/1.12e-03/6.54e-04, Work: 1.88e-02
Inner energy: 9.41e-03, Energy share (memb./bend./shear): 7.64e-03/1.12e-03/6.54e-04, Work: 1.88e-02
Epoch: 5, rel. L2 error: 1.54e-01
Inner energy: 9.41e-03, Energy share (memb./bend./shear): 7.64e-03/1.12e-03/6.54e-04, Work: 1.88e-02
Inner energy: 9.42e-03, Energy share (memb./bend./shear): 7.64e-03/1.11e-03/6.68e-04, Work: 1.88e-02
